url,label,xml_id
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f239/full/full/0/native.jpg,"117r",f238
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f240/full/full/0/native.jpg,"117v",f239
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f241/full/full/0/native.jpg,"118r",f240
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f242/full/full/0/native.jpg,"118v",f241
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f243/full/full/0/native.jpg,"119r",f242
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f244/full/full/0/native.jpg,"119v",f243
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f245/full/full/0/native.jpg,"120r",f244
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f246/full/full/0/native.jpg,"120v",f245
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f247/full/full/0/native.jpg,"121r",f246
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f248/full/full/0/native.jpg,"121v",f247
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f249/full/full/0/native.jpg,"122r",f248
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f250/full/full/0/native.jpg,"122v",f249
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f251/full/full/0/native.jpg,"123r",f250
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f252/full/full/0/native.jpg,"123v",f251
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f253/full/full/0/native.jpg,"124r",f252
